year,Sex,Deprivation fifth,geography,Healthy weight or underweight,Healthy weight or underweight (%),Healthy weight or underweight (95% CI),Overweight or obese,Overweight or obese (%),Overweight or obese (95% CI),Underweight,Underweight (%),Underweight (95% CI),Healthy weight,Healthy weight (%),Healthy weight (95% CI),Overweight not obese,Overweight not obese (%),Overweight not obese (95% CI),Obese,Obese (%),Obese        (95% CI),link,Tab
2019,Total,Total,Wales,"23,199",73.1,(72.6 to 73.5),"8,557",26.9,(26.5 to 27.4),220,0.7,(0.6 to 0.8),"22,979",72.4,(71.9 to 72.9),"4,569",14.4,(14.0 to 14.8),"3,988",12.6,(12.2 to 12.9),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Least deprived fifth,Wales,"4,297",79.1,(78.0 to 80.1),"1,138",20.9,(19.9 to 22.0),42,0.8,(0.6 to 1.0),"4,255",78.3,(77.2 to 79.4),688,12.7,(11.8 to 13.6),450,8.3,(7.6 to 9.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Next least deprived,Wales,"4,282",74,(72.8 to 75.1),"1,507",26,(24.9 to 27.2),27,0.5,(0.3 to 0.7),"4,255",73.5,(72.3 to 74.6),835,14.4,(13.5 to 15.4),672,11.6,(10.8 to 12.5),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Middle deprived,Wales,"4,343",73.3,(72.2 to 74.4),"1,580",26.7,(25.6 to 27.8),40,0.7,(0.5 to 0.9),"4,303",72.6,(71.5 to 73.8),836,14.1,(13.3 to 15.0),744,12.6,(11.7 to 13.4),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Next most deprived,Wales,"4,694",70.9,(69.8 to 72.0),"1,922",29.1,(28.0 to 30.2),49,0.7,(0.6 to 1.0),"4,645",70.2,(69.1 to 71.3),"1,014",15.3,(14.5 to 16.2),908,13.7,(12.9 to 14.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Most deprived fifth,Wales,"5,583",69.8,(68.8 to 70.8),"2,410",30.2,(29.2 to 31.2),62,0.8,(0.6 to 1.0),"5,521",69.1,(68.1 to 70.1),"1,196",15,(14.2 to 15.8),"1,214",15.2,(14.4 to 16.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Betsi Cadwaladr UHB,"4,934",71.3,(70.2 to 72.3),"1,990",28.7,(27.7 to 29.8),39,0.6,(0.4 to 0.8),"4,895",70.7,(69.6 to 71.8),"1,104",15.9,(15.1 to 16.8),886,12.8,(12.0 to 13.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Powys THB,794,71.9,(69.1 to 74.4),311,28.1,(25.6 to 30.9),8,0.7,(0.4 to 1.4),786,71.1,(68.4 to 73.7),154,13.9,(12.0 to 16.1),157,14.2,(12.3 to 16.4),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Hywel Dda UHB,"2,596",70.9,(69.4 to 72.3),"1,068",29.1,(27.7 to 30.6),11,0.3,(0.2 to 0.5),"2,585",70.6,(69.1 to 72.0),593,16.2,(15.0 to 17.4),475,13,(11.9 to 14.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Swansea Bay UHB,"2,816",72.8,(71.4 to 74.2),"1,053",27.2,(25.8 to 28.6),23,0.6,(0.4 to 0.9),"2,793",72.2,(70.8 to 73.6),549,14.2,(13.1 to 15.3),504,13,(12.0 to 14.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Cardiff and Vale UHB,"3,784",78.1,(76.9 to 79.3),"1,059",21.9,(20.7 to 23.1),70,1.4,(1.1 to 1.8),"3,714",76.7,(75.5 to 77.9),566,11.7,(10.8 to 12.6),493,10.2,(9.4 to 11.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Cwm Taf Morgannwg UHB,"3,429",70.7,(69.4 to 71.9),"1,423",29.3,(28.1 to 30.6),25,0.5,(0.3 to 0.8),"3,404",70.2,(68.9 to 71.4),715,14.7,(13.8 to 15.8),708,14.6,(13.6 to 15.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Aneurin Bevan UHB,"4,846",74.6,(73.5 to 75.6),"1,653",25.4,(24.4 to 26.5),44,0.7,(0.5 to 0.9),"4,802",73.9,(72.8 to 74.9),888,13.7,(12.9 to 14.5),765,11.8,(11.0 to 12.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Girls,Total,Wales,"11,371",73.4,(72.7 to 74.1),"4,128",26.6,(25.9 to 27.3),71,0.5,(0.4 to 0.6),"11,300",72.9,(72.2 to 73.6),"2,208",14.2,(13.7 to 14.8),"1,920",12.4,(11.9 to 12.9),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Least deprived fifth,Wales,"2,075",79.6,(78.0 to 81.1),531,20.4,(18.9 to 22.0),10,0.4,(0.2 to 0.7),"2,065",79.2,(77.6 to 80.8),331,12.7,(11.5 to 14.0),200,7.7,(6.7 to 8.8),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Next least deprived,Wales,"2,113",74.2,(72.6 to 75.8),735,25.8,(24.2 to 27.4),10,0.4,(0.2 to 0.6),"2,103",73.8,(72.2 to 75.4),399,14,(12.8 to 15.3),336,11.8,(10.7 to 13.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Middle deprived,Wales,"2,149",73.6,(72.0 to 75.2),769,26.4,(24.8 to 28.0),18,0.6,(0.4 to 1.0),"2,131",73,(71.4 to 74.6),422,14.5,(13.2 to 15.8),347,11.9,(10.8 to 13.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Next most deprived,Wales,"2,331",71.3,(69.8 to 72.9),937,28.7,(27.1 to 30.2),15,0.5,(0.3 to 0.8),"2,316",70.9,(69.3 to 72.4),496,15.2,(14.0 to 16.4),441,13.5,(12.4 to 14.7),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Most deprived fifth,Wales,"2,703",70,(68.6 to 71.5),"1,156",30,(28.5 to 31.4),18,0.5,(0.3 to 0.7),"2,685",69.6,(68.1 to 71.0),560,14.5,(13.4 to 15.7),596,15.4,(14.3 to 16.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Betsi Cadwaladr UHB,"2,442",72.1,(70.6 to 73.6),945,27.9,(26.4 to 29.4),14,0.4,(0.2 to 0.7),"2,428",71.7,(70.1 to 73.2),525,15.5,(14.3 to 16.8),420,12.4,(11.3 to 13.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Powys THB,381,74.6,(70.6 to 78.1),130,25.4,(21.9 to 29.4),-,-,-,-,-,-,68,13.3,(10.6 to 16.5),62,12.1,(9.6 to 15.3),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Hywel Dda UHB,"1,320",72,(69.9 to 74.0),513,28,(26.0 to 30.1),-,-,-,-,-,-,283,15.4,(13.9 to 17.2),230,12.5,(11.1 to 14.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Swansea Bay UHB,"1,356",72.7,(70.6 to 74.7),509,27.3,(25.3 to 29.4),6,0.3,(0.1 to 0.7),"1,350",72.4,(70.3 to 74.4),265,14.2,(12.7 to 15.9),244,13.1,(11.6 to 14.7),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Cardiff and Vale UHB,"1,887",79.2,(77.5 to 80.8),495,20.8,(19.2 to 22.5),19,0.8,(0.5 to 1.2),"1,868",78.4,(76.7 to 80.0),268,11.3,(10.0 to 12.6),227,9.5,(8.4 to 10.8),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Cwm Taf Morgannwg UHB,"1,677",69.8,(68.0 to 71.6),725,30.2,(28.4 to 32.0),10,0.4,(0.2 to 0.8),"1,667",69.4,(67.5 to 71.2),360,15,(13.6 to 16.5),365,15.2,(13.8 to 16.7),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Aneurin Bevan UHB,"2,308",74,(72.4 to 75.5),811,26,(24.5 to 27.6),17,0.5,(0.3 to 0.9),"2,291",73.5,(71.9 to 75.0),439,14.1,(12.9 to 15.3),372,11.9,(10.8 to 13.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Boys,Total,Wales,"11,828",72.8,(72.1 to 73.4),"4,429",27.2,(26.6 to 27.9),149,0.9,(0.8 to 1.1),"11,679",71.8,(71.1 to 72.5),"2,361",14.5,(14.0 to 15.1),"2,068",12.7,(12.2 to 13.2),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Least deprived fifth,Wales,"2,222",78.5,(77.0 to 80.0),607,21.5,(20.0 to 23.0),32,1.1,(0.8 to 1.6),"2,190",77.4,(75.8 to 78.9),357,12.6,(11.4 to 13.9),250,8.8,(7.8 to 9.9),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Next least deprived,Wales,"2,169",73.8,(72.1 to 75.3),772,26.2,(24.7 to 27.9),17,0.6,(0.4 to 0.9),"2,152",73.2,(71.5 to 74.7),436,14.8,(13.6 to 16.2),336,11.4,(10.3 to 12.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Middle deprived,Wales,"2,194",73,(71.4 to 74.6),811,27,(25.4 to 28.6),22,0.7,(0.5 to 1.1),"2,172",72.3,(70.7 to 73.9),414,13.8,(12.6 to 15.1),397,13.2,(12.0 to 14.5),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Next most deprived,Wales,"2,363",70.6,(69.0 to 72.1),985,29.4,(27.9 to 31.0),34,1,(0.7 to 1.4),"2,329",69.6,(68.0 to 71.1),518,15.5,(14.3 to 16.7),467,13.9,(12.8 to 15.2),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Most deprived fifth,Wales,"2,880",69.7,(68.2 to 71.0),"1,254",30.3,(29.0 to 31.8),44,1.1,(0.8 to 1.4),"2,836",68.6,(67.2 to 70.0),636,15.4,(14.3 to 16.5),618,14.9,(13.9 to 16.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Betsi Cadwaladr UHB,"2,492",70.5,(68.9 to 71.9),"1,045",29.5,(28.1 to 31.1),25,0.7,(0.5 to 1.0),"2,467",69.7,(68.2 to 71.2),579,16.4,(15.2 to 17.6),466,13.2,(12.1 to 14.3),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Powys THB,413,69.5,(65.7 to 73.1),181,30.5,(26.9 to 34.3),-,-,-,-,-,-,86,14.5,(11.9 to 17.5),95,16,(13.3 to 19.2),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Hywel Dda UHB,"1,276",69.7,(67.5 to 71.8),555,30.3,(28.2 to 32.5),-,-,-,-,-,-,310,16.9,(15.3 to 18.7),245,13.4,(11.9 to 15.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Swansea Bay UHB,"1,460",72.9,(70.9 to 74.8),544,27.1,(25.2 to 29.1),17,0.8,(0.5 to 1.4),"1,443",72,(70.0 to 73.9),284,14.2,(12.7 to 15.8),260,13,(11.6 to 14.5),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Cardiff and Vale UHB,"1,897",77.1,(75.4 to 78.7),564,22.9,(21.3 to 24.6),51,2.1,(1.6 to 2.7),"1,846",75,(73.3 to 76.7),298,12.1,(10.9 to 13.5),266,10.8,(9.6 to 12.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Cwm Taf Morgannwg UHB,"1,752",71.5,(69.7 to 73.3),698,28.5,(26.7 to 30.3),15,0.6,(0.4 to 1.0),"1,737",70.9,(69.1 to 72.7),355,14.5,(13.2 to 15.9),343,14,(12.7 to 15.4),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2019,Boys,Total,Aneurin Bevan UHB,"2,538",75.1,(73.6 to 76.5),842,24.9,(23.5 to 26.4),27,0.8,(0.5 to 1.2),"2,511",74.3,(72.8 to 75.7),449,13.3,(12.2 to 14.5),393,11.6,(10.6 to 12.8),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Boys
2021,Total,Total,Swansea Bay UHB,"2,343",66,(64.4 to 67.5),"1,209",34,(32.5 to 35.6),18,0.5,(0.3 to 0.8),"2,325",65.5,(63.9 to 67.0),583,16.4,(15.2 to 17.7),626,17.6,(16.4 to 18.9),2. Interactive Data Tables 2020-21.xlsx (live.com),Prevalance all
2021,Total,Total,Aneurin Bevan UHB,"4,041",67.5,(66.3 to 68.7),"1,947",32.5,(31.3 to 33.7),47,0.8,(0.6 to 1.0),"3,994",66.7,(65.5 to 67.9),850,14.2,(13.3 to 15.1),"1,097",18.3,(17.4 to 19.3),2. Interactive Data Tables 2020-21.xlsx (live.com),Prevalance all
2021,Boys,Total,Swansea Bay UHB,"1,175",64.8,(62.5 to 66.9),639,35.2,(33.1 to 37.5),13,0.7,(0.4 to 1.2),"1,162",64.1,(61.8 to 66.2),317,17.5,(15.8 to 19.3),322,17.8,(16.1 to 19.6),2. Interactive Data Tables 2020-21.xlsx (live.com),Prevalance boys
2021,Boys,Total,Aneurin Bevan UHB,"2,052",66.9,(65.2 to 68.5),"1,017",33.1,(31.5 to 34.8),29,0.9,(0.7 to 1.4),"2,023",65.9,(64.2 to 67.6),445,14.5,(13.3 to 15.8),572,18.6,(17.3 to 20.1),2. Interactive Data Tables 2020-21.xlsx (live.com),Prevalance boys
2021,Girls,Total,Swansea Bay UHB,"1,168",67.2,(65.0 to 69.4),570,32.8,(30.6 to 35.0),5,0.3,(0.1 to 0.7),"1,163",66.9,(64.7 to 69.1),266,15.3,(13.7 to 17.1),304,17.5,(15.8 to 19.3),2. Interactive Data Tables 2020-21.xlsx (live.com),Prevalance girls
2021,Girls,Total,Aneurin Bevan UHB,"1,989",68.1,(66.4 to 69.8),930,31.9,(30.2 to 33.6),18,0.6,(0.4 to 1.0),"1,971",67.5,(65.8 to 69.2),405,13.9,(12.7 to 15.2),525,18,(16.6 to 19.4),2. Interactive Data Tables 2020-21.xlsx (live.com),Prevalance girls
2022,Total,Total,Betsi Cadwaladr UHB,"3,826",72.4,(71.2-73.6),"1,455",27.6,(26.4-28.8),29,0.5,(0.4-0.8),"3,797",71.9,(70.7-73.1),759,14.4,(13.5-15.3),696,13.2,(12.3-14.1),2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,Total,Powys THB,798,75.9,(73.3-78.4),253,24.1,(21.6-26.7),5,0.5,(0.2-1.1),793,75.5,(72.8-78.0),142,13.5,(11.6-15.7),111,10.6,(8.8-12.6),2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,Total,Hywel Dda UHB,"2,301",70.8,(69.2-72.4),948,29.2,(27.6-30.8),18,0.6,(0.4-0.9),"2,283",70.3,(68.7-71.8),506,15.6,(14.4-16.9),442,13.6,(12.5-14.8),2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,Total,Swansea Bay UHB,"2,580",71.7,(70.2-73.2),"1,017",28.3,(26.8-29.8),27,0.8,(0.5-1.1),"2,553",71,(69.5-72.4),509,14.2,(13.0-15.3),508,14.1,(13.0-15.3),2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,Total,Cwm Taf Morgannwg UHB,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,Total,Cardiff and Vale UHB,"2,996",75.9,(74.5-77.2),952,24.1,(22.8-25.5),52,1.3,(1.0-1.7),"2,944",74.6,(73.2-75.9),512,13,(12.0-14.1),440,11.1,(10.2-12.2),2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,Total,Aneurin Bevan UHB,"4,535",74.1,(73.0-75.2),"1,581",25.9,(24.8-27.0),57,0.9,(0.7-1.2),"4,478",73.2,(72.1-74.3),792,12.9,(12.1-13.8),789,12.9,(12.1-13.8),2. CMP_Data_2021_22.xlsx (live.com),2a
2022,Total,HB Least deprived fifth,Betsi Cadwaladr UHB,650,77.4,(74.4 to 80.1),190,22.6,(19.9 to 25.6),[s],[s],[s],[s],[s],[s],103,12.3,(10.2 to 14.7),87,10.4,(8.5 to 12.6),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next least deprived,Betsi Cadwaladr UHB,734,74.5,(71.7 to 77.1),251,25.5,(22.9 to 28.3),[s],[s],[s],[s],[s],[s],135,13.7,(11.7 to 16.0),116,11.8,(9.9 to 13.9),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Middle deprived,Betsi Cadwaladr UHB,726,72.7,(69.9 to 75.4),272,27.3,(24.6 to 30.1),5,0.5,(0.2 to 1.2),721,72.2,(69.4 to 74.9),143,14.3,(12.3 to 16.6),129,12.9,(11.0 to 15.2),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next most deprived,Betsi Cadwaladr UHB,802,70.5,(67.8 to 73.1),335,29.5,(26.9 to 32.2),7,0.6,(0.3 to 1.3),795,69.9,(67.2 to 72.5),183,16.1,(14.1 to 18.3),152,13.4,(11.5 to 15.5),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Most deprived fifth,Betsi Cadwaladr UHB,914,69.2,(66.6 to 71.6),407,30.8,(28.4 to 33.4),11,0.8,(0.5 to 1.5),903,68.4,(65.8 to 70.8),195,14.8,(13.0 to 16.8),212,16,(14.2 to 18.1),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Least deprived fifth,Powys THB,123,78.8,(71.8 to 84.5),33,21.2,(15.5 to 28.2),[s],[s],[s],[s],[s],[s],19,12.2,(7.9 to 18.2),14,9,(5.4 to 14.5),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next least deprived,Powys THB,172,76.8,(70.8 to 81.8),52,23.2,(18.2 to 29.2),[s],[s],[s],[s],[s],[s],33,14.7,(10.7 to 20.0),19,8.5,(5.5 to 12.9),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Middle deprived,Powys THB,159,76.1,(69.9 to 81.4),50,23.9,(18.6 to 30.1),[s],[s],[s],[s],[s],[s],25,12,(8.2 to 17.1),25,12,(8.2 to 17.1),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next most deprived,Powys THB,166,75.5,(69.4 to 80.7),54,24.5,(19.3 to 30.6),[s],[s],[s],[s],[s],[s],25,11.4,(7.8 to 16.2),29,13.2,(9.3 to 18.3),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Most deprived fifth,Powys THB,178,73.6,(67.7 to 78.7),64,26.4,(21.3 to 32.3),[s],[s],[s],[s],[s],[s],40,16.5,(12.4 to 21.7),24,9.9,(6.8 to 14.3),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Least deprived fifth,Hywel Dda UHB,430,75.6,(71.9 to 78.9),139,24.4,(21.1 to 28.1),[s],[s],[s],[s],[s],[s],78,13.7,(11.1 to 16.8),61,10.7,(8.4 to 13.5),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next least deprived,Hywel Dda UHB,506,73.1,(69.7 to 76.3),186,26.9,(23.7 to 30.3),[s],[s],[s],[s],[s],[s],106,15.3,(12.8 to 18.2),80,11.6,(9.4 to 14.2),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Middle deprived,Hywel Dda UHB,444,72.4,(68.8 to 75.8),169,27.6,(24.2 to 31.2),[s],[s],[s],[s],[s],[s],89,14.5,(12.0 to 17.5),80,13.1,(10.6 to 15.9),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next most deprived,Hywel Dda UHB,400,70.7,(66.8 to 74.3),166,29.3,(25.7 to 33.2),[s],[s],[s],[s],[s],[s],88,15.5,(12.8 to 18.8),78,13.8,(11.2 to 16.9),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Most deprived fifth,Hywel Dda UHB,521,64.4,(61.0 to 67.6),288,35.6,(32.4 to 39.0),7,0.9,(0.4 to 1.8),514,63.5,(60.2 to 66.8),145,17.9,(15.4 to 20.7),143,17.7,(15.2 to 20.5),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Least deprived fifth,Swansea Bay UHB,452,76.9,(73.3 to 80.1),136,23.1,(19.9 to 26.7),[s],[s],[s],[s],[s],[s],73,12.4,(10.0 to 15.3),63,10.7,(8.5 to 13.5),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Next least deprived,Swansea Bay UHB,505,72.3,(68.9 to 75.5),193,27.7,(24.5 to 31.1),[s],[s],[s],[s],[s],[s],106,15.2,(12.7 to 18.0),87,12.5,(10.2 to 15.1),2. CMP_Data_2021_22.xlsx (live.com),4b
2022,Total,HB Middle deprived,Swansea Bay UHB,495,71.6,(68.2 to 74.9),196,28.4,(25.1 to 31.8),6,0.9,(0.4 to 1.9),489,70.8,(67.3 to 74.0),96,13.9,(11.5 to 16.7),100,14.5,(12.0 to 17.3),2. CMP_Data_2021_22.xlsx (live.com),4b
